Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000003253375
Spectral Data 390[nm],0.000034987672
Spectral Data 395[nm],0.000090196103
Spectral Data 400[nm],0.000149180516
Spectral Data 405[nm],0.000184626551
Spectral Data 410[nm],0.000183717391
Spectral Data 415[nm],0.000187015539
Spectral Data 420[nm],0.000218598783
Spectral Data 425[nm],0.000347204594
Spectral Data 430[nm],0.000866844901
Spectral Data 435[nm],0.001386139425
Spectral Data 440[nm],0.001232985291
Spectral Data 445[nm],0.000700695731
Spectral Data 450[nm],0.000456715119
Spectral Data 455[nm],0.000415759831
Spectral Data 460[nm],0.000384841114
Spectral Data 465[nm],0.000353763695
Spectral Data 470[nm],0.000325952249
Spectral Data 475[nm],0.000323201646
Spectral Data 480[nm],0.000456540583
Spectral Data 485[nm],0.000691084773
Spectral Data 490[nm],0.000746179081
Spectral Data 495[nm],0.000551945530
Spectral Data 500[nm],0.000325911533
Spectral Data 505[nm],0.000222450777
Spectral Data 510[nm],0.000136831630
Spectral Data 515[nm],0.000076119621
Spectral Data 520[nm],0.000061722574
Spectral Data 525[nm],0.000118846874
Spectral Data 530[nm],0.000256571046
Spectral Data 535[nm],0.000721757417
Spectral Data 540[nm],0.001591089065
Spectral Data 545[nm],0.002029605675
Spectral Data 550[nm],0.001534285024
Spectral Data 555[nm],0.000751759100
Spectral Data 560[nm],0.000292564131
Spectral Data 565[nm],0.000136350296
Spectral Data 570[nm],0.000146877224
Spectral Data 575[nm],0.000256618776
Spectral Data 580[nm],0.000379346107
Spectral Data 585[nm],0.000474873028
Spectral Data 590[nm],0.000527087483
Spectral Data 595[nm],0.000506219047
Spectral Data 600[nm],0.000441715994
Spectral Data 605[nm],0.000874622201
Spectral Data 610[nm],0.001581583754
Spectral Data 615[nm],0.001493613119
Spectral Data 620[nm],0.000931028684
Spectral Data 625[nm],0.000671674847
Spectral Data 630[nm],0.000457138522
Spectral Data 635[nm],0.000289761549
Spectral Data 640[nm],0.000192057501
Spectral Data 645[nm],0.000142349978
Spectral Data 650[nm],0.000122740123
Spectral Data 655[nm],0.000118285294
Spectral Data 660[nm],0.000113423099
Spectral Data 665[nm],0.000106245760
Spectral Data 670[nm],0.000092765309
Spectral Data 675[nm],0.000071213944
Spectral Data 680[nm],0.000086093030
Spectral Data 685[nm],0.000098985387
Spectral Data 690[nm],0.000094951916
Spectral Data 695[nm],0.000109142471
Spectral Data 700[nm],0.000170734129
Spectral Data 705[nm],0.000263759430
Spectral Data 710[nm],0.000268290169
Spectral Data 715[nm],0.000157755421
Spectral Data 720[nm],0.000071173061
Spectral Data 725[nm],0.000032623568
Spectral Data 730[nm],0.000027324699
Spectral Data 735[nm],0.000024383609
Spectral Data 740[nm],0.000034238616
Spectral Data 745[nm],0.000036390949
Spectral Data 750[nm],0.000032450440
Spectral Data 755[nm],0.000029675191
Spectral Data 760[nm],0.000039172548
Spectral Data 765[nm],0.000073152805
Spectral Data 770[nm],0.000060303435
Spectral Data 775[nm],0.000017949696
Spectral Data 780[nm],0.000024033809
